x,Curve1
0.9933,0.322
1.0798,0.821
1.1234,1.286
1.1595,1.536
1.21,1.893
1.2317,2.071
1.3329,2.857
1.3689,3
1.3904,3.071
1.4771,3.678
1.549,3.999
1.6208,4.285
1.6925,4.427
1.793,4.748
1.8362,4.963
1.8863,5.034
2.0368,5.355
2.1085,5.533
2.1588,5.747
2.2162,5.89
2.281,6.247
2.3598,6.389
2.4604,6.782
2.5398,7.353
2.59,7.496
2.6758,7.531
2.7906,7.888
2.841,8.138
2.9127,8.316
2.9557,8.387
3.0493,8.851
3.1783,9.136
3.2501,9.422
3.3074,9.529
3.3289,9.564
3.401,9.993
3.4658,10.314
3.5304,10.528
3.6019,10.564
3.674,10.992
3.7528,11.17
3.8031,11.384
3.832,11.563
3.8753,11.849
3.9615,12.17
3.9686,12.182
4.0263,12.491
4.1411,12.848
4.1843,13.062
4.2275,13.276
4.3206,13.49
4.357,13.883
4.4576,14.275
4.5083,14.74
4.5656,14.882
4.616,15.132
4.6449,15.311
4.6954,15.632
4.7528,15.81
4.7745,15.989
4.8247,16.167
4.9331,16.989
5.0051,17.31
5.0413,17.631
5.0845,17.881
5.1709,18.345
5.236,18.881
5.265,19.131
5.3081,19.274
5.3659,19.702
5.4597,20.345
5.5536,21.023
5.6047,21.738
5.6408,21.988
5.7202,22.559
5.764,23.13
5.7931,23.523
5.9013,24.166
5.9233,24.559
5.974,24.987
6.0031,25.38
6.0466,25.809
6.0904,26.38
6.1269,26.88
6.1845,27.202
6.2428,27.988
6.2864,28.416
6.3444,28.988
6.367,29.774
6.4038,30.452
6.4473,30.881
6.4983,31.559
6.5494,32.274
6.593,32.738
6.6444,33.667
6.6957,34.524
6.7179,35.024
6.7764,35.917
6.8056,36.346
6.8276,36.703
6.8716,37.453
6.9228,38.204
6.9452,38.882
6.9747,39.454
7.004,39.954
7.027,40.954
7.0491,41.419
7.079,42.312
7.0941,42.812
7.1163,43.348
7.1753,44.527
7.1901,44.884
7.2347,45.992
7.2787,46.778
7.2873,47.671
7.3093,48.844
7.3105,48.85
7.3407,49.922
7.3705,50.708
7.394,52.065
7.4235,52.708
7.4534,53.53
7.4692,54.566
7.4992,55.495
7.5077,56.353
7.5377,58.483
7.5396,58.532
7.5475,59.032
7.5922,60.247
7.6296,61.355
7.6379,62.633
7.6387,62.605
7.6397,63.281
7.6412,64.249
